Virus.name,District,Accession.number,Collection.date
hCoV-19/India/GJ-GBRC303a/2020,Vadodara,EPI_ISL_495050,15/06/2020
hCoV-19/India/GJ-GBRC304a/2020,Vadodara,EPI_ISL_495052,15/06/2020
hCoV-19/India/GJ-GBRC305a/2020,Vadodara,EPI_ISL_495054,15/06/2020
hCoV-19/India/GJ-GBRC306a/2020,Vadodara,EPI_ISL_495056,15/06/2020
hCoV-19/India/GJ-GBRC307a/2020,Vadodara,EPI_ISL_495058,15/06/2020
hCoV-19/India/GJ-GBRC308/2020,Vadodara,EPI_ISL_495060,15/06/2020
hCoV-19/India/GJ-GBRC309a/2020,Vadodara,EPI_ISL_495061,15/06/2020
hCoV-19/India/GJ-GBRC31/2020,Ahmedabad,EPI_ISL_444462,29/04/2020
hCoV-19/India/GJ-GBRC310a/2020,Prantij,EPI_ISL_495063,19/06/2020
hCoV-19/India/GJ-GBRC311a/2020,Mandvi,EPI_ISL_495065,20/06/2020
hCoV-19/India/GJ-GBRC312a/2020,Kheda,EPI_ISL_495067,08/06/2020
hCoV-19/India/GJ-GBRC313/2020,Nadiad,EPI_ISL_495069,08/06/2020
hCoV-19/India/GJ-GBRC314/2020,Choryasi,EPI_ISL_495070,17/06/2020
hCoV-19/India/GJ-GBRC315a/2020,Kamrej,EPI_ISL_495071,17/06/2020
hCoV-19/India/GJ-GBRC316a/2020,Surat,EPI_ISL_495073,17/06/2020
hCoV-19/India/GJ-GBRC317/2020,Surat,EPI_ISL_500947,17/06/2020
hCoV-19/India/GJ-GBRC318a/2020,Surat,EPI_ISL_495075,17/06/2020
hCoV-19/India/GJ-GBRC319/2020,Surat,EPI_ISL_495077,17/06/2020
hCoV-19/India/GJ-GBRC32/2020,Ahmedabad,EPI_ISL_444463,29/04/2020
hCoV-19/India/GJ-GBRC320/2020,Surat,EPI_ISL_495078,17/06/2020
hCoV-19/India/GJ-GBRC321/2020,Surat,EPI_ISL_500948,17/06/2020
hCoV-19/India/GJ-GBRC322a/2020,Surat,EPI_ISL_500949,17/06/2020
hCoV-19/India/GJ-GBRC322b/2020,Surat,EPI_ISL_500950,17/06/2020
hCoV-19/India/GJ-GBRC323a/2020,Surat,EPI_ISL_495079,12/06/2020
hCoV-19/India/GJ-GBRC324/2020,Ahmedabad,EPI_ISL_512058,18/06/2020
hCoV-19/India/GJ-GBRC325/2020,Ahmedabad,EPI_ISL_512059,18/06/2020
hCoV-19/India/GJ-GBRC326/2020,Ahmedabad,EPI_ISL_512060,25/06/2020
hCoV-19/India/GJ-GBRC327a/2020,Ahmedabad,EPI_ISL_512061,25/06/2020
hCoV-19/India/GJ-GBRC328/2020,Ahmedabad,EPI_ISL_512063,25/06/2020
hCoV-19/India/GJ-GBRC329/2020,Ahmedabad,EPI_ISL_512064,25/06/2020
hCoV-19/India/GJ-GBRC33/2020,Ahmedabad,EPI_ISL_444464,29/04/2020
hCoV-19/India/GJ-GBRC330/2020,Ahmedabad,EPI_ISL_512065,25/06/2020
hCoV-19/India/GJ-GBRC331/2020,Ahmedabad,EPI_ISL_512066,27/07/2020
hCoV-19/India/GJ-GBRC332a/2020,Ahmedabad,EPI_ISL_512067,27/07/2020
hCoV-19/India/GJ-GBRC333/2020,Ahmedabad,EPI_ISL_512069,27/07/2020
hCoV-19/India/GJ-GBRC334a/2020,Adajan,EPI_ISL_512070,12/06/2020
hCoV-19/India/GJ-GBRC335a/2020,Mehsana,EPI_ISL_512072,06/07/2020
hCoV-19/India/GJ-GBRC336/2020,Mehsana,EPI_ISL_512074,06/07/2020
hCoV-19/India/GJ-GBRC337a/2020,Modasa,EPI_ISL_514435,09/07/2020
hCoV-19/India/GJ-GBRC338a/2020,Modasa,EPI_ISL_512075,09/07/2020
hCoV-19/India/GJ-GBRC34/2020,Ahmedabad,EPI_ISL_444465,29/04/2020
hCoV-19/India/GJ-GBRC340/2020,Modasa,EPI_ISL_514437,09/07/2020
hCoV-19/India/GJ-GBRC341/2020,Ahmedabad,EPI_ISL_514581,18/06/2020
hCoV-19/India/GJ-GBRC342a/2020,Ahmedabad,EPI_ISL_514582,18/06/2020
hCoV-19/India/GJ-GBRC343a/2020,Ahmedabad,EPI_ISL_514584,18/06/2020
hCoV-19/India/GJ-GBRC344/2020,Ahmedabad,EPI_ISL_514586,18/06/2020
hCoV-19/India/GJ-GBRC345/2020,Ahmedabad,EPI_ISL_514587,18/06/2020
hCoV-19/India/GJ-GBRC346/2020,Daskroi,EPI_ISL_514588,18/06/2020
hCoV-19/India/GJ-GBRC347a/2020,Daskroi,EPI_ISL_514589,18/06/2020
hCoV-19/India/GJ-GBRC348a/2020,Ahmedabad,EPI_ISL_514591,18/06/2020
hCoV-19/India/GJ-GBRC349/2020,Ahmedabad,EPI_ISL_514593,18/06/2020
hCoV-19/India/GJ-GBRC35/2020,Ahmedabad,EPI_ISL_444466,29/04/2020
hCoV-19/India/GJ-GBRC350a/2020,Ahmedabad,EPI_ISL_514594,18/06/2020
hCoV-19/India/GJ-GBRC351a/2020,Ahmedabad,EPI_ISL_514596,18/06/2020
hCoV-19/India/GJ-GBRC352a/2020,Ahmedabad,EPI_ISL_514598,18/06/2020
hCoV-19/India/GJ-GBRC353/2020,Ahmedabad,EPI_ISL_514600,25/06/2020
hCoV-19/India/GJ-GBRC354a/2020,Ahmedabad,EPI_ISL_514601,25/06/2020
hCoV-19/India/GJ-GBRC355a/2020,Ahmedabad,EPI_ISL_514603,25/06/2020
hCoV-19/India/GJ-GBRC356/2020,Ahmedabad,EPI_ISL_514605,25/06/2020
hCoV-19/India/GJ-GBRC357a/2020,Ahmedabad,EPI_ISL_514606,25/06/2020
hCoV-19/India/GJ-GBRC358/2020,Ahmedabad,EPI_ISL_514608,25/06/2020
hCoV-19/India/GJ-GBRC359/2020,Ahmedabad,EPI_ISL_514609,25/06/2020
